# NKPT    30 NBND    35 NSPIN     2
# NPANEL     2
#      1   (0,0,0)/4
#     20   (2,0,2)/4
#     30   (2,1,3)/4
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     3
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/4"
@ XAXIS TICK     1,     0.41355
@ XAXIS TICKLABEL    1,"(2,0,2)/4"
@ XAXIS TICK     2,     0.62032
@ XAXIS TICKLABEL    2,"(2,1,3)/4"
@ WORLD      0.00000,        -1.4,     0.62032,         0.7
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
# EFERMI (HARTREE)   -0.13348
@ WITH G1
@ G1 ON
@ TITLE "BETA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS TICKLABEL PLACE OPPOSITE
@ AUTOSCALE ONREAD NONE
@ AUTOTICKS
@ XAXIS TICK SPEC     3
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/4"
@ XAXIS TICK     1,     0.41355
@ XAXIS TICKLABEL    1,"(2,0,2)/4"
@ XAXIS TICK     2,     0.62032
@ XAXIS TICKLABEL    2,"(2,1,3)/4"
@ WORLD      0.00000,        -1.4,     0.62032,         0.7
@ VIEW      0.65709,     0.15000,     1.14418,     0.85000
  0.00000E+00 -0.13346E+01 -0.13171E+01 -0.13171E+01 -0.13171E+01 -0.13109E+01 -0.13053E+01 -0.13053E+01 -0.49794E+00 -0.49794E+00 -0.49794E+00 -0.48659E+00 -0.46511E+00 -0.46511E+00 -0.46511E+00 -0.41384E+00 -0.41384E+00 -0.41384E+00 -0.40076E+00 -0.40076E+00 -0.40076E+00 -0.37962E+00 -0.37962E+00 -0.37723E+00 -0.37723E+00 -0.37723E+00 -0.37043E+00 -0.37043E+00 -0.37043E+00  0.33095E+00  0.47328E+00  0.54495E+00  0.54495E+00  0.54495E+00  0.60160E+00  0.60160E+00
  0.21766E-01 -0.13345E+01 -0.13171E+01 -0.13171E+01 -0.13171E+01 -0.13109E+01 -0.13054E+01 -0.13053E+01 -0.49781E+00 -0.49781E+00 -0.49771E+00 -0.48647E+00 -0.46503E+00 -0.46501E+00 -0.46501E+00 -0.41388E+00 -0.41388E+00 -0.41377E+00 -0.40082E+00 -0.40080E+00 -0.40080E+00 -0.37985E+00 -0.37961E+00 -0.37741E+00 -0.37741E+00 -0.37723E+00 -0.37062E+00 -0.37049E+00 -0.37049E+00  0.33119E+00  0.47348E+00  0.54462E+00  0.54462E+00  0.54499E+00  0.60098E+00  0.60196E+00
  0.43531E-01 -0.13344E+01 -0.13170E+01 -0.13170E+01 -0.13170E+01 -0.13110E+01 -0.13055E+01 -0.13053E+01 -0.49742E+00 -0.49742E+00 -0.49703E+00 -0.48610E+00 -0.46479E+00 -0.46473E+00 -0.46473E+00 -0.41401E+00 -0.41401E+00 -0.41358E+00 -0.40101E+00 -0.40091E+00 -0.40091E+00 -0.38054E+00 -0.37960E+00 -0.37793E+00 -0.37793E+00 -0.37723E+00 -0.37119E+00 -0.37066E+00 -0.37066E+00  0.33189E+00  0.47411E+00  0.54370E+00  0.54370E+00  0.54515E+00  0.59914E+00  0.60301E+00
  0.65297E-01 -0.13342E+01 -0.13170E+01 -0.13170E+01 -0.13170E+01 -0.13110E+01 -0.13057E+01 -0.13054E+01 -0.49678E+00 -0.49678E+00 -0.49591E+00 -0.48548E+00 -0.46439E+00 -0.46426E+00 -0.46426E+00 -0.41426E+00 -0.41426E+00 -0.41327E+00 -0.40131E+00 -0.40107E+00 -0.40107E+00 -0.38168E+00 -0.37958E+00 -0.37879E+00 -0.37879E+00 -0.37722E+00 -0.37213E+00 -0.37094E+00 -0.37094E+00  0.33306E+00  0.47516E+00  0.54235E+00  0.54235E+00  0.54550E+00  0.59614E+00  0.60463E+00
  0.87063E-01 -0.13340E+01 -0.13170E+01 -0.13170E+01 -0.13170E+01 -0.13111E+01 -0.13060E+01 -0.13054E+01 -0.49588E+00 -0.49588E+00 -0.49436E+00 -0.48463E+00 -0.46384E+00 -0.46361E+00 -0.46361E+00 -0.41467E+00 -0.41467E+00 -0.41284E+00 -0.40174E+00 -0.40124E+00 -0.40124E+00 -0.38325E+00 -0.37999E+00 -0.37999E+00 -0.37955E+00 -0.37720E+00 -0.37346E+00 -0.37134E+00 -0.37134E+00  0.33469E+00  0.47664E+00  0.54076E+00  0.54076E+00  0.54610E+00  0.59210E+00  0.60669E+00
  0.10883E+00 -0.13336E+01 -0.13169E+01 -0.13169E+01 -0.13169E+01 -0.13113E+01 -0.13064E+01 -0.13055E+01 -0.49474E+00 -0.49474E+00 -0.49239E+00 -0.48353E+00 -0.46314E+00 -0.46278E+00 -0.46278E+00 -0.41526E+00 -0.41526E+00 -0.41232E+00 -0.40228E+00 -0.40138E+00 -0.40138E+00 -0.38523E+00 -0.38151E+00 -0.38151E+00 -0.37952E+00 -0.37719E+00 -0.37516E+00 -0.37185E+00 -0.37185E+00  0.33678E+00  0.47855E+00  0.53913E+00  0.53913E+00  0.54706E+00  0.58717E+00  0.60908E+00
  0.13059E+00 -0.13332E+01 -0.13169E+01 -0.13168E+01 -0.13168E+01 -0.13115E+01 -0.13069E+01 -0.13056E+01 -0.49335E+00 -0.49335E+00 -0.49002E+00 -0.48219E+00 -0.46231E+00 -0.46180E+00 -0.46180E+00 -0.41610E+00 -0.41610E+00 -0.41170E+00 -0.40294E+00 -0.40145E+00 -0.40145E+00 -0.38760E+00 -0.38332E+00 -0.38332E+00 -0.37948E+00 -0.37723E+00 -0.37717E+00 -0.37247E+00 -0.37247E+00  0.33930E+00  0.48086E+00  0.53759E+00  0.53759E+00  0.54846E+00  0.58153E+00  0.61171E+00
  0.15236E+00 -0.13327E+01 -0.13168E+01 -0.13168E+01 -0.13168E+01 -0.13118E+01 -0.13073E+01 -0.13057E+01 -0.49173E+00 -0.49173E+00 -0.48728E+00 -0.48062E+00 -0.46134E+00 -0.46066E+00 -0.46066E+00 -0.41719E+00 -0.41719E+00 -0.41102E+00 -0.40369E+00 -0.40144E+00 -0.40144E+00 -0.39031E+00 -0.38537E+00 -0.38537E+00 -0.37967E+00 -0.37943E+00 -0.37715E+00 -0.37319E+00 -0.37319E+00  0.34223E+00  0.48351E+00  0.53624E+00  0.53624E+00  0.55032E+00  0.57541E+00  0.61454E+00
  0.17413E+00 -0.13322E+01 -0.13167E+01 -0.13167E+01 -0.13167E+01 -0.13122E+01 -0.13078E+01 -0.13058E+01 -0.48988E+00 -0.48988E+00 -0.48420E+00 -0.47883E+00 -0.46025E+00 -0.45940E+00 -0.45940E+00 -0.41854E+00 -0.41854E+00 -0.41028E+00 -0.40453E+00 -0.40136E+00 -0.40136E+00 -0.39334E+00 -0.38759E+00 -0.38759E+00 -0.38246E+00 -0.37939E+00 -0.37712E+00 -0.37399E+00 -0.37399E+00  0.34553E+00  0.48642E+00  0.53511E+00  0.53511E+00  0.55268E+00  0.56906E+00  0.61752E+00
